month;CDU/CSU;SPD;GRÜNE;FDP;LINKE;AfD;FW;BSW;Sonstige;sample;field_time;method
2024-01;0.315;0.165;0.10500000000000001;0.035;0.03;0.17;;0.07;0.11;19.72;;
2024-03;0.32;0.15000000000000002;0.11499999999999999;0.04;0.035;0.175;;0.05500000000000001;0.11;25.049999999999997;;
2024-04;0.31;0.16;0.11;0.04;0.03;0.17;0.03;0.07;0.08;14.52;;
2024-05;0.31833333333333336;0.165;0.11833333333333333;0.03666666666666667;0.03;0.17500000000000002;0.01;0.065;0.09166666666666667;18.956666666666667;;
2024-06;0.32;0.15;0.1225;0.04;0.0325;0.17;;0.07;0.095;14.0375;;
2024-07;0.33;0.165;0.11499999999999999;0.04;0.03;0.175;;0.06;0.1;11.23;;
2024-08;0.32;0.165;0.11499999999999999;0.03;0.035;0.175;;0.06;0.1;16.16;;
2024-09;0.325;0.1525;0.115;0.04;0.03666666666666667;0.17250000000000001;0.01;0.07875;0.09000000000000001;16.543750000000003;;
2024-10;0.3262;0.15760000000000002;0.1106;0.0392;0.0325;0.1724;0.02;0.07680000000000001;0.08919999999999999;15.782;;
2024-11;0.3325;0.15;0.12083333333333333;0.04;0.033999999999999996;0.18166666666666667;0.01;0.059166666666666666;0.08750000000000001;15.838333333333333;;
2024-12;0.32466666666666666;0.15666666666666668;0.13266666666666665;0.035333333333333335;0.03333333333333333;0.18466666666666667;;0.05066666666666667;0.08866666666666667;14.985333333333333;;
2025-01;0.3041156462585034;0.1591496598639456;0.13782312925170068;0.040034013605442176;0.042777777777777776;0.2027777777777778;0.21642857142857141;0.048095238095238094;0.07034013605442177;15.748605442176869;;
2025-02;0.30094444444444446;0.15319444444444444;0.13083333333333333;0.043666666666666666;0.07213888888888889;0.20366666666666666;0.21400000000000002;0.044444444444444446;0.04855555555555555;16.316888888888887;;
2025-03;0.2727380952380953;0.15333333333333335;0.12059523809523809;0.033928571428571426;0.10000000000000002;0.22400000000000003;0.22714285714285715;0.04071428571428572;0.0525;16.28297619047619;;
2025-04;0.29125;0.15625;0.125;0.036250000000000004;0.07375;0.21000000000000002;0.21000000000000002;0.0475;0.060000000000000005;21.767500000000002;;
2025-05;0.29;0.18;0.12;0.04;0.06;0.22;;0.06;0.04;21.81;;
2025-06;0.305;0.155;0.1325;0.037500000000000006;0.05;0.21;0.215;0.055;0.052500000000000005;16.5725;;
2025-07;0.30500000000000005;0.16;0.13;0.035;0.055;0.1975;;0.037500000000000006;0.08;13.98;;
2025-08;0.29;0.16;0.13;0.045;0.04;0.21;0.21;0.06;0.065;15.559999999999999;;
2025-09;0.29500000000000004;0.155;0.125;0.04;0.07;0.2;0.21;0.05;0.060000000000000005;12.620000000000001;;
2025-10;0.29625;0.15000000000000002;0.13374999999999998;0.03875000000000001;0.06125;0.21;0.22;0.045;0.06;17.1875;;
2025-11;0.2925;0.1575;0.1275;0.04;0.057499999999999996;0.21000000000000002;0.22;0.0475;0.0625;18.54;;
2025-12;0.29;0.16;0.12;0.04;0.06;0.21;;0.05;0.06;20.83;;
