X_handle,tweet_count
_FriedrichMerz,145597
Markus_Soeder,100905
roberthabeck,81612
Alice_Weidel,76429
cdu,60396
c_lindner,58102
die_gruenen,53739
afd,39046
ABaerbock,38370
fdp,31618
spdde,29618
csu,28567
cducsubt,27980
Karl_Lauterbach,27708
Ricarda_Lang,26204
jensspahn,23416
GoeringEckardt,22853
KrahMax,19598
JuliaKloeckner,15828
OlafScholz,15374
NancyFaeser,15246
MarcoBuschmann,14827
dielinke,14619
SWagenknecht,14305
RKiesewetter,13765
MAStrackZi,12883
Beatrix_vStorch,12269
KonstantinNotz,12261
larsklingbeil,12022
Fabiodemasi,11740
MiRo_SPD,11344
GregorGysi,11234
cem_oezdemir,9825
n_roettgen,7659
gruenebundestag,7629
HeidiReichinnek,7442
bodoramelow,6912
spdbt,6894
GrueneBundestag,6634
DrPuerner,6040
ArminLaschet,6009
SevimDagdelen,5791
fdpbt,5686
ErikMarquardt,5584
Buendnis_SahraW,5567
MPKretschmer,5365
f_schaeffler,5197
gruene_jugend,4960
HendrikWuest,4890
Ralf_Stegner,4565
Tino_Chrupalla,3806
Janine_Wissler,3779
RenateKuenast,3744
nouripour,3673
VolkerUllrich,3591
Bsw_Bt,3336
starkwatzinger,3240
DietmarBartsch,3230
MartinHuberCSU,3102
LindaTeuteberg,2890
johannesvogel,2481
hubertus_heil,2449
afdimbundestag,2415
PaulZiemiak,2365
EskenSaskia,2348
UlrichSiegmund,2113
afdimBundestag,1941
DaniLudwigMdB,1917
Amira_M_Ali,1724
dielinkeberlin,1650
ManuelaSchwesig,1569
TomaszFroelich,1513
hahnflo,1269
ernst_klaus,1245
TerryReintke,1210
ManfredWeber,986
KonstantinKuhle,943
DoroBaer,910
AndersonAfDMdEP,894
moritzkoerner,725
MalteKaufmann,579
ZaklinNastic,572
luna_le,555
christian_leye,553
jessica_tatti,537
ria_schroeder,476
jusos,405
GottfriedCurio,361
fdp_nrw,325
junge_union,307
IlseAigner,286
CansuOezdemir,211
linksfraktion,182
afdberlin,157
b_riexinger,147
DerLenzMdB,138
groehe,133
KatharinaKoenig,123
bswsaarland,118
AndrejHunko,112
AfdBerlin,108
anked,86
woelken,53
MarkusBlume,51
PetrBystronAfD,46
